Major_code,Major,Major_category,Grad_total,Grad_employed,Grad_unemployed
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,10801,6739,222
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,4810,3880,445
6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,56666,40441,2293
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,51566,39185,1100
6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,64284,54355,1226
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,32549,26153,1786
4002,NUTRITION SCIENCES,Health,40740,31411,773
5501,ECONOMICS,Social Science,517614,386002,17668
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,202105,131845,3782
6110,COMMUNITY AND PUBLIC HEALTH,Health,35543,28112,874
2408,ELECTRICAL ENGINEERING,Engineering,482767,371723,13974
4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,165460,115266,3926
5006,OCEANOGRAPHY,Physical Sciences,7315,5501,125
2399,MISCELLANEOUS EDUCATION,Education,166626,86566,3106
2402,BIOLOGICAL ENGINEERING,Engineering,21515,16810,695
5401,PUBLIC ADMINISTRATION,Law & Public Policy,42661,31985,2000
2304,ELEMENTARY EDUCATION,Education,1105607,668185,13889
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,13718,9546,453
3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,3465,1248,72
2300,GENERAL EDUCATION,Education,1128727,698049,24083
6002,MUSIC,Arts,205013,150394,6507
2314,ART AND MUSIC EDUCATION,Education,183239,123145,3600
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,57960,40277,2157
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,17051,13042,705
5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,107888,83632,4374
5404,SOCIAL WORK,Psychology & Social Work,260824,203983,7963
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,881433,598806,25330
2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,72079,46866,896
